"blue_line_key","downstream_route_measure","watershed_group_code","falls_name","height_m","barrier_ind"
354150965,2814.00260055064,"TAHS",,13.4,TRUE
360882917,4145.07139373935,"KLUM",,5,TRUE
356550417,6587.22077584879,"OKAN",,100,TRUE
356362235,692.830449859701,"FRCN",,6,TRUE
360817924,2879.99420208711,"BULK","Rasberry Falls",,TRUE
360671736,413.540669659553,"MORI",,8,TRUE
354146711,1356.8563220409,"ALBN",,9,TRUE
356560399,157.010852547368,"LARL",,8,TRUE
356303535,265.990651936909,"STHM",,9.3,TRUE
360817345,32.2856949704619,"BABR",,10,TRUE
360864137,1369.96417626712,"TSAY",,20,TRUE
356567937,956.949865736184,"DUNC",,20,TRUE
360754356,854.01546656704,"KLUM",,5,TRUE
356358961,665.506004188561,"UNTH",,10,TRUE
359533066,493.942598091788,"MURR",,30,TRUE
360813234,8748.48677875018,"SQAM",,5,TRUE
359569881,60319.024983507,"PARS",,5,TRUE
356458718,981.979522785186,"COLR",,40,TRUE
360752114,144.093391044737,"NECL",,12,TRUE
356361749,45742.9768376369,"DEAD",,12,TRUE
356559045,1873.02408551585,"LARL",,25,TRUE
354154436,3285.30256001818,"CLAY",,9.1,TRUE
356561801,24919.2585573611,"ELKR",,5,TRUE
360872270,3971.94971302831,"SQAM",,5,TRUE
360515541,36.6631434647393,"KINR",,25,TRUE
359524099,2682.97160721353,"PARA",,10,TRUE
356223113,1436.22011102316,"UNTH",,10,TRUE
356515671,214.017493604182,"LARL",,9.5,TRUE
360630469,155.983060505236,"GRAI",,15,TRUE
356364114,1358737.17785797,"UFRA",,,TRUE
360880419,11781.0066048848,"OWIK",,10,TRUE
360882650,934.410081271987,"KLUM",,60,TRUE
360846095,2507.71496058986,"TOBA",,60,TRUE
354152994,39878.3161532169,"SALM",,7,TRUE
356565457,4554.98176695695,"UARL",,30,TRUE
356356462,12802.0743427094,"TAKL",,5,TRUE
356544461,287.108862886014,"COLR",,28.5,TRUE
354148638,5.95625920451731,"COWN",,5,TRUE
356361451,21716.0545190344,"LILL",,10,TRUE
356223037,1602.01630041387,"UNTH",,30,TRUE
360759509,355.816768350264,"NASC",,11,TRUE
360827485,10460.8324854935,"BABL",,10,TRUE
360529692,233.501836178531,"GRAI",,10,TRUE
356548258,1007.01243231342,"REVL",,10,TRUE
354155244,11812.0478008026,"BRKS",,12,TRUE
356348942,945.855408947203,"SETN",,18,TRUE
356296486,323.272942793783,"HORS",,5,TRUE
360795052,3183.05034779467,"OWIK",,10,TRUE
356354837,12610.523041179,"DOGC",,9,TRUE
360809281,2153.26921666945,"NASC",,10,TRUE
359385687,136.97996015232,"PARS",,15,TRUE
356361749,62681.2326159592,"DEAD","Deadman Falls",20,TRUE
356563768,217.933856505693,"SMAR",,15,TRUE
354147346,2812.81655560208,"PARK",,6,TRUE
354154869,7683.98889638273,"TAHS",,7,TRUE
360870555,16356.6737924506,"LNAR",,10,TRUE
354132500,702.90448681337,"BRKS",,6,TRUE
356360680,6329.98884892535,"LFRA",,6,TRUE
359548277,618.935391445192,"TOAD",,10,TRUE
360877478,7099.2683187176,"SQAM",,15,TRUE
356559604,4062.99914710734,"COLR",,10,TRUE
359541467,10545.0246972408,"GATA",,17,TRUE
360819652,3620.98750521454,"BABL",,5.1,TRUE
359459840,3897.50557781819,"UOMI",,15,TRUE
356348253,2848.01802288404,"BBAR",,12,TRUE
360823361,694.974563904025,"MORR",,5,TRUE
360642969,1679.65110081183,"BABL",,15,TRUE
360570890,109.973103076583,"KLUM",,6,TRUE
359545843,51.8840629710185,"TURN",,5,TRUE
360574199,1255.33287477278,"BULK",,10,TRUE
360813234,6164.18905657374,"SQAM",,30,TRUE
356361560,9945.40509361128,"HORS",,12,TRUE
356564470,2035.28103671629,"SMAR",,40,TRUE
354151289,5215.01083032368,"GOLD",,7,TRUE
